household_ID,campaign_type,Strategy,RegionName.y,district,ward,village,sub_village,dog_total,number_dogs_seen,owner_recall_vacc,owner_recall_vacc_no,owner_recall_not_vacc_no,vacc_card_status,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,,variable,meaning
RCT0813,continuous,3,Mara,2,7,18,114,1,1,0,NA,1,,0,NA,,NA,,,
RCT0812,continuous,3,Mara,2,7,18,114,2,2,1,1,1,1,1,NA,no,1,,,
RCT0811,continuous,3,Mara,2,7,18,114,3,3,1,1,2,1,1,NA,no,1,,,
RCT0840,continuous,3,Mara,2,7,21,88,8,8,1,2,6,1,2,NA,no,2,,,
RCT0839,continuous,3,Mara,2,7,21,88,1,1,1,1,0,1,1,NA,no,1,,,
RCT0838,continuous,3,Mara,2,7,21,88,3,3,1,2,1,1,2,NA,no,2,,,
RCT0837,continuous,3,Mara,2,7,21,88,3,3,0,NA,3,,0,NA,,NA,,,
RCT0836,continuous,3,Mara,2,7,21,88,1,1,0,NA,1,,0,NA,,NA,,,
RCT0835,continuous,3,Mara,2,7,21,88,2,2,0,NA,2,,0,NA,,NA,,,
RCT0834,continuous,3,Mara,2,7,21,88,1,1,1,1,0,1,1,NA,no,1,,,
RCT0833,continuous,3,Mara,2,7,21,88,2,1,1,1,1,1,1,NA,no,1,,,
RCT0832,continuous,3,Mara,2,7,21,88,1,1,0,NA,1,,0,NA,,NA,,,
RCT0831,continuous,3,Mara,2,7,21,88,4,4,1,4,0,1,4,NA,no,4,,,
RCT0830,continuous,3,Mara,2,7,18,67,3,3,1,3,0,1,3,NA,no,3,,,
RCT0829,continuous,3,Mara,2,7,18,67,1,1,1,1,0,1,1,NA,no,1,,,
RCT0828,continuous,3,Mara,2,7,18,67,3,3,1,1,2,1,1,NA,no,1,,,
RCT0827,continuous,3,Mara,2,7,18,67,8,8,1,1,0,1,1,NA,no,1,,,
RCT0826,continuous,3,Mara,2,7,18,67,1,1,0,NA,1,,0,NA,,NA,,,
RCT0825,continuous,3,Mara,2,7,18,67,1,1,0,NA,1,,0,NA,,NA,,,
RCT0824,continuous,3,Mara,2,7,18,67,2,2,0,NA,2,,0,NA,,NA,,,
RCT0823,continuous,3,Mara,2,7,18,67,4,4,1,4,0,1,4,NA,no,0,,,
RCT0822,continuous,3,Mara,2,7,18,67,3,3,1,2,1,1,2,NA,no,2,,,
RCT0821,continuous,3,Mara,2,7,18,67,4,4,1,2,2,1,2,NA,no,2,,,
RCT0850,continuous,3,Mara,2,7,21,16,3,3,1,2,1,1,2,NA,no,2,,,
RCT0849,continuous,3,Mara,2,7,21,16,3,2,1,2,1,1,2,NA,no,2,,,
RCT0848,continuous,3,Mara,2,7,21,16,5,5,1,3,2,1,3,NA,no,3,,,
RCT0847,continuous,3,Mara,2,7,21,16,2,4,1,2,2,1,2,NA,no,2,,,
RCT0846,continuous,3,Mara,2,7,21,16,3,3,0,NA,3,,0,NA,,NA,,,
RCT0845,continuous,3,Mara,2,7,21,16,5,5,1,5,0,1,5,NA,no,5,,,
RCT0844,continuous,3,Mara,2,7,21,16,1,1,0,NA,1,,0,NA,,NA,,,
RCT0843,continuous,3,Mara,2,7,21,16,4,4,1,3,1,1,3,NA,no,3,,,
RCT0842,continuous,3,Mara,2,7,21,16,9,9,1,3,6,1,3,NA,no,0,,,
RCT0841,continuous,3,Mara,2,7,21,16,1,1,1,1,0,1,1,NA,no,1,,,
RCT0190,continuous,3,Mara,0,2,2,19,1,1,1,1,0,1,1,NA,no,1,,,
RCT0189,continuous,3,Mara,0,2,2,19,2,2,1,2,0,unknown,2,NA,no,0,,,
RCT0188,continuous,3,Mara,0,2,2,19,1,1,1,1,0,1,1,NA,no,1,,,
RCT0187,continuous,3,Mara,0,2,2,19,1,1,1,1,0,1,0,NA,no,1,,,
RCT0186,continuous,3,Mara,0,2,2,19,2,2,1,2,0,1,2,NA,no,2,,,
RCT0185,continuous,3,Mara,0,2,2,19,3,3,1,2,1,1,2,NA,no,2,,,
RCT0184,continuous,3,Mara,0,2,2,19,1,1,0,NA,1,,0,NA,,NA,,,
RCT0183,continuous,3,Mara,0,2,2,19,1,1,0,NA,1,,0,NA,,NA,,,
RCT0182,continuous,3,Mara,0,2,2,19,1,1,1,1,0,1,1,NA,no,1,,,
RCT0210,continuous,3,Mara,0,2,2,2,3,3,1,3,0,1,0,NA,no,3,,,
RCT0181,continuous,3,Mara,0,2,2,19,3,1,1,3,0,1,1,NA,no,3,,,
RCT0209,continuous,3,Mara,0,2,2,2,2,2,1,2,0,1,2,NA,no,2,,,
RCT0208,continuous,3,Mara,0,2,2,2,2,2,1,2,0,1,2,NA,no,2,,,
RCT0200,continuous,3,Mara,0,2,2,25,2,0,1,2,0,1,0,NA,no,2,,,
RCT0207,continuous,3,Mara,0,2,2,2,2,2,1,1,1,1,1,NA,no,1,,,
RCT0199,continuous,3,Mara,0,2,2,25,2,2,1,2,0,0,2,NA,no,0,,,
RCT0198,continuous,3,Mara,0,2,2,25,1,1,1,1,0,1,1,NA,no,1,,,
RCT0206,continuous,3,Mara,0,2,2,2,1,0,1,1,0,0,0,NA,no,0,,,
RCT0205,continuous,3,Mara,0,2,2,2,2,2,1,1,1,1,1,NA,no,1,,,
RCT0197,continuous,3,Mara,0,2,2,25,1,1,0,NA,1,,0,NA,,NA,,,
RCT0204,continuous,3,Mara,0,2,2,2,2,1,1,1,1,0,0,NA,no,0,,,
RCT0196,continuous,3,Mara,0,2,2,25,1,1,1,1,0,1,1,NA,no,0,,,
RCT0203,continuous,3,Mara,0,2,2,2,1,0,1,1,0,1,0,NA,no,1,,,
RCT0195,continuous,3,Mara,0,2,2,25,4,4,1,2,2,1,2,NA,no,2,,,
